# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.999005006089278960e-02 3.470458082087314751e-04 6.153999294881448527e-04 4.682094797334592862e-05 5.891532867993002717e-07 4.429031015991223693e-04 1.994150112549726084e-04 8.910100030806134236e-05 1.682401358537407498e-07 2.670052688665405793e-02 3.470458082087314751e-04 6.153999294881448527e-04 4.682094797334592862e-05 5.891532867993002717e-07 4.429031015991223693e-04 1.994150112549726084e-04 8.910100030806134236e-05 1.682401358537407498e-07
1.000000000000000000e+03 1.698322222599740403e-02 5.203656899347914837e-06 2.579808253815654899e-05 9.111712995119499581e-06 4.682154112543130465e-06 1.266541071235371058e-06 1.478986279096147384e-06 8.421443258655419022e-07 3.909931479045121959e-07 2.183601913166438591e-02 5.203656899347914837e-06 2.579808253815654899e-05 9.111712995119499581e-06 4.682154112543130465e-06 1.266541071235371058e-06 1.478986279096147384e-06 8.421443258655419022e-07 3.909931479045121959e-07
2.000000000000000000e+03 4.878838326933266842e-03 3.050549588961170369e-06 4.138330164242973674e-05 5.938370030271117981e-06 7.100402966883026539e-06 2.697853330302244586e-07 7.326670187982067830e-07 1.553899215836573383e-07 2.437623763954370634e-07 6.036202649705078860e-03 3.050549588961170369e-06 4.138330164242973674e-05 5.938370030271117981e-06 7.100402966883026539e-06 2.697853330302244586e-07 7.326670187982067830e-07 1.553899215836573383e-07 2.437623763954370634e-07
3.000000000000000000e+03 3.827965718766065343e-03 3.960878627239172595e-08 9.350883388669840431e-06 4.681779646770327733e-07 2.107666203746937016e-06 4.697003362591912432e-09 8.453563901819335199e-08 2.636701094834290723e-09 3.190784247712718022e-08 5.718658161369930167e-03 3.960878627239172595e-08 9.350883388669840431e-06 4.681779646770327733e-07 2.107666203746937016e-06 4.697003362591912432e-09 8.453563901819335199e-08 2.636701094834290723e-09 3.190784247712718022e-08
4.000000000000000000e+03 3.759835178004920699e-03 4.843213877208472335e-08 4.160289276853462205e-06 3.513835233002169400e-07 8.356407665947836335e-07 3.171613403101374139e-09 4.039358547593970767e-08 2.672141015674580173e-09 9.949204564129500662e-09 5.756635548846910158e-03 4.843213877208472335e-08 4.160289276853462205e-06 3.513835233002169400e-07 8.356407665947836335e-07 3.171613403101374139e-09 4.039358547593970767e-08 2.672141015674580173e-09 9.949204564129500662e-09
5.000000000000000000e+03 4.215121241225551312e-03 5.615772106442900733e-07 6.704596791415425663e-06 1.433894880956931919e-05 1.861993451887735448e-05 8.050993821375774316e-06 1.272467447186386703e-06 5.553859457452160678e-06 3.783080653003910173e-06 6.076987507616200650e-03 5.615772106442900733e-07 6.704596791415425663e-06 1.433894880956931919e-05 1.861993451887735448e-05 8.050993821375774316e-06 1.272467447186386703e-06 5.553859457452160678e-06 3.783080653003910173e-06
6.000000000000000000e+03 3.720897683770261685e-03 2.334666007036717080e-08 1.985752024799830065e-06 2.944379600432171493e-07 3.959534143736507887e-07 2.220162427387108273e-09 1.717510903764071971e-08 1.611451757553892962e-09 3.817340081299092030e-09 5.772141956719508901e-03 2.334666007036717080e-08 1.985752024799830065e-06 2.944379600432171493e-07 3.959534143736507887e-07 2.220162427387108273e-09 1.717510903764071971e-08 1.611451757553892962e-09 3.817340081299092030e-09
7.000000000000000000e+03 3.708270192234775463e-03 1.176394319695291354e-08 1.692598474084405006e-06 2.141576943974251914e-07 3.183976013329665590e-07 2.303972201552460985e-09 1.439472798839532289e-08 1.243393716043087873e-09 4.000913329944028552e-09 5.769850224850715283e-03 1.176394319695291354e-08 1.692598474084405006e-06 2.141576943974251914e-07 3.183976013329665590e-07 2.303972201552460985e-09 1.439472798839532289e-08 1.243393716043087873e-09 4.000913329944028552e-09
8.000000000000000000e+03 3.698353105806666957e-03 9.155891455598112254e-09 1.393675315973850318e-06 1.512435575717545536e-07 2.988171425277327941e-07 3.890444157498720373e-09 1.227170971896181099e-08 1.430262917906297056e-10 3.567498566426466817e-09 5.759296105002040603e-03 9.155891455598112254e-09 1.393675315973850318e-06 1.512435575717545536e-07 2.988171425277327941e-07 3.890444157498720373e-09 1.227170971896181099e-08 1.430262917906297056e-10 3.567498566426466817e-09
9.000000000000000000e+03 3.687735690758076751e-03 6.807618798069360182e-09 1.192341986529875488e-06 7.570993478258097263e-08 2.315547046871544953e-07 1.845557218302869616e-09 6.651610868385335479e-09 5.583784404761911367e-09 8.544587380580723051e-09 5.731616803142353979e-03 6.807618798069360182e-09 1.192341986529875488e-06 7.570993478258097263e-08 2.315547046871544953e-07 1.845557218302869616e-09 6.651610868385335479e-09 5.583784404761911367e-09 8.544587380580723051e-09
